date,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used,total_boosters,total_boosters_per_hundred
11/24/2021,12554249,16400130,6069178,54.41,125.71,5433838,60.77,164.22,51861,49403,4947,0.765,1443377,14.45
11/25/2021,,,,,,,,,,43670,4373,,,
11/26/2021,,,,,,,,,,37758,3781,,,
11/27/2021,,,,,,,,,,31599,3164,,,
11/28/2021,,,,,,,,,,24566,2460,,,
11/29/2021,12619775,16365490,6085874,54.46,126.36,5439034,60.94,163.87,,20529,2056,0.771,1487745,14.9
11/30/2021,12750259,16473840,6115092,54.59,127.67,5451997,61.23,164.96,130484,35410,3546,0.774,1577357,15.79
12/1/2021,12793470,16563560,6123311,54.67,128.1,5460170,61.31,165.85,43211,34174,3422,0.772,1604737,16.07
12/2/2021,12844066,16647430,6133203,54.78,128.61,5470903,61.41,166.69,50596,39530,3958,0.772,1635231,16.37
12/3/2021,12903723,16752280,6143709,54.9,129.21,5482861,61.52,167.74,59657,46181,4624,0.77,1673131,16.75
12/4/2021,12973185,16768180,6156202,55.03,129.9,5495667,61.64,167.9,69462,54231,5430,0.774,1717980,17.2
12/5/2021,13035927,16761140,6166981,55.15,130.53,5507797,61.75,167.83,62742,61322,6140,0.778,1758433,17.61
12/6/2021,13075257,16759460,6173400,55.25,130.92,5517866,61.82,167.82,39330,65069,6515,0.78,1781614,17.84
12/7/2021,13083449,16853470,6175261,55.27,131.01,5519936,61.83,168.76,8192,47599,4766,0.776,1785990,17.88
12/8/2021,13129819,17001930,6183195,55.37,131.47,5529817,61.91,170.24,46370,48050,4811,0.772,1815152,18.18
12/9/2021,13178300,17101050,6191265,55.46,131.96,5538735,61.99,171.24,48481,47748,4781,0.771,1847139,18.5
12/10/2021,13205897,17236870,6196738,55.52,132.23,5544303,62.05,172.6,27597,43168,4322,0.766,1863991,18.66
12/11/2021,13232691,17290510,6201782,55.57,132.5,5549499,62.1,173.13,26794,37072,3712,0.765,1880835,18.83
12/12/2021,13344337,17293570,6218729,55.78,133.62,5570795,62.27,173.16,111646,44059,4412,0.772,1955237,19.58
12/13/2021,13387427,17293570,6226169,55.87,134.05,5579829,62.34,173.16,43090,44596,4465,0.774,1982174,19.85
12/14/2021,13402445,17376240,6228816,55.9,134.2,5582626,62.37,173.99,15018,45571,4563,0.771,1991976,19.95
12/15/2021,13447493,17433460,6236590,55.99,134.65,5591222,62.45,174.56,45048,45382,4544,0.771,2021075,20.24
12/16/2021,13498695,17554190,6245230,56.07,135.16,5599581,62.53,175.77,51202,45771,4583,0.769,2055838,20.59
12/17/2021,13550097,17699720,6254114,56.15,135.68,5608026,62.62,177.23,51402,49171,4924,0.766,2090536,20.93
12/18/2021,13598154,17654830,6262743,56.23,136.16,5615135,62.71,176.78,48057,52209,5228,0.77,2123386,21.26
12/19/2021,13649069,17649650,6271811,56.3,136.67,5622475,62.8,176.73,50915,43533,4359,0.773,2158295,21.61
12/20/2021,13678183,17639150,6277252,56.34,136.96,5626837,62.86,176.62,29114,41537,4159,0.775,2177786,21.81
12/21/2021,13697167,17680490,6280955,56.37,137.15,5629547,62.89,177.04,18984,42103,4216,0.775,2190481,21.93
12/22/2021,13740805,17755300,6288830,56.44,137.59,5636787,62.97,177.79,43638,41902,4196,0.774,2219350,22.22
12/23/2021,13791653,17851710,6298825,56.52,138.1,5644292,63.07,178.75,50848,41851,4191,0.773,2253081,22.56
12/24/2021,,,,,,,,,,36256,3630,,,
12/25/2021,,,,,,,,,,31138,3118,,,
12/26/2021,,,,,,,,,,25612,2565,,,
12/27/2021,13840590,17809060,6308784,56.59,138.59,5651307,63.17,178.32,,23201,2323,0.777,2285394,22.88
12/28/2021,13909514,17809060,6322530,56.68,139.28,5660716,63.31,178.32,68924,30335,3037,0.781,2331674,23.35
12/29/2021,13939281,17995270,6328657,56.74,139.58,5666366,63.37,180.19,29767,28354,2839,0.775,2349909,23.53
12/30/2021,13979476,18022240,6337587,56.81,139.98,5673450,63.46,180.46,40195,26832,2687,0.776,2374549,23.78
12/31/2021,,,,,,,,,,28234,2827,,,
1/1/2022,,,,,,,,,,29637,2968,,,
1/2/2022,,,,,,,,,,31039,3108,,,
1/3/2022,,,,,,,,,,32442,3248,,,
1/4/2022,14089732,17993970,6361901,56.98,141.08,5690977,63.7,180.18,,25745,2578,0.783,2444065,24.47
1/5/2022,14116247,18107310,6367463,57.04,141.35,5696274,63.76,181.31,26515,25281,2531,0.78,2460033,24.63
1/6/2022,14151800,18418430,6374999,57.1,141.7,5702584,63.83,184.43,35553,24618,2465,0.768,2482196,24.85
1/7/2022,14185348,18418430,6382258,57.16,142.04,5708301,63.91,184.43,33548,26260,2629,0.77,2503092,25.06
1/8/2022,14219075,18596890,6389511,57.21,142.38,5713920,63.98,186.21,33727,27928,2796,0.765,2524274,25.28
1/9/2022,14257567,18585590,6397592,57.28,142.76,5720073,64.06,186.1,38492,30277,3032,0.767,2548870,25.52
1/10/2022,14280604,18585690,6402816,57.32,142.99,5724083,64.11,186.1,23037,30418,3046,0.768,2562864,25.66
1/11/2022,14295769,18618690,6406312,57.34,143.15,5726397,64.15,186.43,15165,29434,2947,0.768,2572365,25.76
1/12/2022,14323849,18705160,6412573,57.39,143.43,5731419,64.21,187.3,28080,29657,2970,0.766,2589440,25.93
1/13/2022,14354925,18736160,6419798,57.45,143.74,5737156,64.28,187.61,31076,29018,2906,0.766,2607890,26.11
1/14/2022,14386081,18819480,6426474,57.5,144.05,5742728,64.35,188.44,31156,28676,2871,0.764,2627145,26.31
1/15/2022,14415999,18897780,6432930,57.55,144.35,5747857,64.41,189.23,29918,28132,2817,0.763,2645766,26.49
1/16/2022,,,,,,,,,,25636,2567,,,
1/17/2022,,,,,,,,,,25348,2538,,,
1/18/2022,14479059,18919710,6446975,57.64,144.98,5756914,64.55,189.45,,26184,2622,0.765,2686239,26.9
1/19/2022,14499667,18957310,6463213,57.74,145.19,5766330,64.72,189.82,20608,25117,2515,0.765,2682509,26.86
1/20/2022,14524082,19001810,6468544,57.79,145.43,5771005,64.77,190.27,24415,24165,2420,0.764,2697153,27.01
1/21/2022,14547119,19031910,6473405,57.83,145.66,5775866,64.82,190.57,23037,23005,2304,0.764,2710687,27.14
1/22/2022,14570002,19126350,6478443,57.88,145.89,5780826,64.87,191.52,22883,22000,2203,0.762,2723829,27.27
1/23/2022,14594370,19126350,6483786,57.93,146.14,5785570,64.92,191.52,24368,22479,2251,0.763,2738327,27.42
1/24/2022,14607799,19126350,6487009,57.95,146.27,5787802,64.96,191.52,13429,21394,2142,0.764,2746395,27.5
1/25/2022,14616141,19150050,6489068,57.97,146.35,5789101,64.98,191.75,8342,19583,1961,0.763,2751430,27.55
1/26/2022,14632332,19173850,6492694,58,146.52,5792701,65.01,191.99,16191,18952,1898,0.763,2760548,27.64
1/27/2022,14650604,19209650,6496407,58.05,146.7,5797034,65.05,192.35,18272,18075,1810,0.763,2770970,27.75
1/28/2022,14668279,19241020,6500424,58.09,146.88,5801386,65.09,192.66,17675,17309,1733,0.762,2780459,27.84
1/29/2022,14687486,19277190,6504619,58.14,147.07,5805887,65.13,193.03,19207,16783,1681,0.762,2791186,27.95
1/30/2022,14708950,19277190,6508993,58.19,147.28,5811233,65.18,193.03,21464,16369,1639,0.763,2803107,28.07
1/31/2022,14712641,19277190,6509768,58.2,147.32,5812209,65.18,193.03,3691,14977,1500,0.763,2805075,28.09
2/1/2022,14713368,19289090,6510061,58.2,147.33,5812467,65.19,193.14,727,13890,1391,0.763,2805268,28.09
2/2/2022,14736596,19309490,6515158,58.26,147.56,5817912,65.24,193.35,23228,14895,1491,0.763,2818146,28.22
2/3/2022,14772719,19328920,6522133,58.32,147.92,5824508,65.31,193.54,36123,17445,1747,0.764,2840847,28.45
2/4/2022,14789947,19365520,6526453,58.37,148.09,5829606,65.35,193.91,17228,17381,1740,0.764,2848778,28.53
2/5/2022,14812526,19367320,6530881,58.44,148.32,5835897,65.39,193.93,22579,17863,1789,0.765,2860803,28.65
2/6/2022,14826284,19367320,6533772,58.48,148.46,5840229,65.42,193.93,13758,16762,1678,0.766,2867475,28.71
2/7/2022,14835463,19367320,6535596,58.51,148.55,5843448,65.44,193.93,9179,17546,1757,0.766,2871700,28.75
2/8/2022,14840450,19446820,6536733,58.53,148.6,5845252,65.45,194.72,4987,18155,1818,0.763,2873790,28.78
2/9/2022,14851423,19492620,6538960,58.56,148.71,5848744,65.48,195.18,10973,16404,1643,0.762,2879161,28.83
2/10/2022,14877836,19528810,6544698,58.62,148.97,5854113,65.53,195.55,26413,15017,1504,0.762,2894630,28.98
2/11/2022,14928996,19571310,6554837,58.71,149.49,5862975,65.63,195.97,51160,19864,1989,0.763,2926912,29.31
2/12/2022,14944976,19594210,6558035,58.75,149.65,5867016,65.67,196.2,15980,18921,1895,0.763,2935808,29.4
2/13/2022,14957841,19594210,6560741,58.79,149.78,5871141,65.69,196.2,12865,18794,1882,0.763,2941977,29.46
2/14/2022,14964584,19594210,6562232,58.81,149.84,5873500,65.71,196.2,6743,18446,1847,0.764,2944920,29.49
2/15/2022,14968955,19609610,6563199,58.83,149.89,5874983,65.72,196.35,4371,18358,1838,0.763,2946881,29.51
2/16/2022,15000426,19628410,6569410,58.88,150.2,5880414,65.78,196.54,31471,21286,2131,0.764,2966822,29.71
2/17/2022,15059670,19849130,6571661,58.91,150.79,5883644,65.8,198.75,59244,25976,2601,0.759,3020733,30.25
2/18/2022,15075506,19893930,6574423,58.95,150.95,5887012,65.83,199.2,15836,20930,2096,0.758,3030582,30.35
2/19/2022,15086338,19906730,6576803,58.98,151.06,5889772,65.85,199.33,10832,20195,2022,0.758,3036404,30.4
2/20/2022,,,,,,,,,,19593,1962,,,
2/21/2022,,,,,,,,,,19866,1989,,,
2/22/2022,15112295,19925730,6582520,59.04,151.32,5896569,65.91,199.52,,20477,2050,0.758,3050117,30.54
2/23/2022,15120202,19950630,6584423,59.07,151.4,5898922,65.93,199.77,7907,17111,1713,0.758,3053921,30.58
2/24/2022,15173971,19969530,6594683,59.15,151.94,5906732,66.03,199.96,53769,16329,1635,0.76,3089731,30.94
2/25/2022,15197805,20002230,6599764,59.2,152.18,5912531,66.08,200.29,23834,17471,1749,0.76,3102839,31.07
2/26/2022,,,,,,,,,,16239,1626,,,
2/27/2022,,,,,,,,,,15318,1534,,,
2/28/2022,,,,,,,,,,14398,1442,,,
3/1/2022,15206634,20022330,6600414,59.21,152.27,5913506,66.09,200.49,,13477,1349,0.759,3109846,31.14
3/2/2022,15240011,20032930,6606190,59.27,152.6,5919399,66.15,200.59,33377,17116,1714,0.761,3131736,31.36
3/3/2022,15264748,20073530,6610697,59.31,152.85,5923005,66.19,201,24737,12968,1299,0.76,3148484,31.53
3/4/2022,15289016,20103130,6615883,59.35,153.09,5926909,66.25,201.3,24268,13030,1305,0.761,3163739,31.68
3/5/2022,15302740,20131130,6618629,59.39,153.23,5930835,66.27,201.58,13724,14675,1469,0.76,3170912,31.75
3/6/2022,15314621,20131230,6621064,59.41,153.35,5933644,66.3,201.58,11881,16057,1608,0.761,3177651,31.82
3/7/2022,15347785,20131230,6627199,59.46,153.68,5938356,66.36,201.58,33164,20480,2051,0.762,3200019,32.04
3/8/2022,15352977,20152530,6628386,59.48,153.73,5939765,66.37,201.79,5192,20906,2093,0.762,3202662,32.07
3/9/2022,15357930,20159430,6629617,59.49,153.78,5941285,66.38,201.86,4953,16846,1687,0.762,3205012,32.09
3/10/2022,15363600,20174130,6630992,59.51,153.84,5942850,66.4,202.01,5670,14122,1414,0.762,3207826,32.12
3/11/2022,15368643,20197230,6632121,59.52,153.89,5944234,66.41,202.24,5043,11375,1139,0.761,3210429,32.15
3/12/2022,15373963,20197230,6633409,59.54,153.94,5945719,66.42,202.24,5320,10175,1019,0.761,3213052,32.17
3/13/2022,15380226,20197230,6634747,59.55,154,5947569,66.43,202.24,6263,9372,938,0.762,3216218,32.2
3/14/2022,15383062,20208830,6635406,59.56,154.03,5948418,66.44,202.35,2836,5040,505,0.761,3217567,32.22
3/15/2022,15384992,20215010,6635891,59.57,154.05,5948977,66.45,202.42,1930,4574,458,0.761,3218478,32.23
3/16/2022,15389332,20226510,6636918,59.58,154.1,5950255,66.46,202.53,4340,4486,449,0.761,3220601,32.25
3/17/2022,15394339,20255110,6638082,59.59,154.15,5951610,66.47,202.82,5007,4391,440,0.76,3223156,32.27
3/18/2022,15399383,20288710,6639175,59.61,154.2,5952818,66.48,203.15,5044,4391,440,0.759,3225971,32.3
3/19/2022,15404840,20288710,6640304,59.62,154.25,5954155,66.49,203.15,5457,4411,442,0.759,3229039,32.33
3/20/2022,15410124,20288710,6641437,59.63,154.3,5955593,66.5,203.15,5284,4271,428,0.76,3231825,32.36
3/21/2022,15413701,20288710,6642167,59.64,154.34,5956481,66.51,203.15,3577,4377,438,0.76,3233827,32.38
3/22/2022,15415774,20288710,6642621,59.65,154.36,5957021,66.51,203.15,2073,4397,440,0.76,3234932,32.39
3/23/2022,15419967,20322110,6643526,59.66,154.4,5958102,66.52,203.49,4193,4376,438,0.759,3237208,32.41
3/24/2022,15424860,20332310,6644665,59.67,154.45,5959340,66.53,203.59,4893,4360,437,0.759,3239789,32.44
3/25/2022,15430326,20348110,6645912,59.68,154.51,5960593,66.55,203.75,5466,4420,443,0.758,3242826,32.47
3/26/2022,15441703,20369810,6648682,59.71,154.62,5962891,66.57,203.97,11377,5266,527,0.758,3249232,32.54
3/27/2022,15446970,20369810,6649945,59.72,154.67,5964322,66.59,203.97,5267,5264,527,0.758,3251931,32.56
3/28/2022,15449817,20369810,6650605,59.73,154.7,5965097,66.59,203.97,2847,5159,517,0.758,3253415,32.58
3/29/2022,15451561,20389610,6651019,59.73,154.72,5965509,66.6,204.16,1744,5112,512,0.758,3254353,32.59
3/30/2022,15455717,20404410,6651944,59.74,154.76,5966478,66.61,204.31,4156,5107,511,0.757,3256674,32.61
3/31/2022,15460686,20455410,6653096,59.75,154.81,5967627,66.62,204.82,4969,5118,512,0.756,3259413,32.64
4/1/2022,15469335,20455710,6654179,59.77,154.9,5968749,66.63,204.83,8649,5573,558,0.756,3265936,32.7
4/2/2022,15485157,20580110,6655445,59.78,155.06,5970279,66.64,206.07,15822,6208,622,0.752,3279047,32.83
4/3/2022,15504608,20580110,6656885,59.8,155.25,5971990,66.66,206.07,19451,8234,824,0.753,3295418,33
4/4/2022,15517396,20580110,6657906,59.81,155.38,5973061,66.67,206.07,12788,9654,967,0.754,3306150,33.11
4/5/2022,15526028,20603510,6658599,59.82,155.46,5973825,66.67,206.31,8632,10638,1065,0.754,3313351,33.18
4/6/2022,15540852,20647510,6659710,59.83,155.61,5975135,66.68,206.75,14824,12162,1218,0.753,3325804,33.3
4/7/2022,15559087,20683910,6661112,59.85,155.8,5976672,66.7,207.11,18235,14057,1408,0.752,3341153,33.46
4/8/2022,15577523,20735410,6662379,59.86,155.98,5978285,66.71,207.63,18436,15455,1548,0.751,3356771,33.61
4/9/2022,15594683,20735410,6663718,59.88,156.15,5979779,66.72,207.63,17160,15647,1567,0.752,3371152,33.76
4/10/2022,15614502,20775810,6665101,59.89,156.35,5981339,66.74,208.03,19819,15699,1572,0.752,3388100,33.93
4/11/2022,15621697,20775810,6665765,59.9,156.42,5982067,66.75,208.03,7195,14900,1492,0.752,3393922,33.98
4/12/2022,15633963,20796610,6666599,59.91,156.55,5983088,66.75,208.24,12266,15419,1544,0.752,3404391,34.09
4/13/2022,15647982,20822510,6667765,59.92,156.69,5984400,66.77,208.5,14019,15304,1532,0.751,3415990,34.2
4/14/2022,15667286,20858810,6669203,59.94,156.88,5986009,66.78,208.86,19304,15457,1548,0.751,3432291,34.37
4/15/2022,15685168,20960810,6670519,59.95,157.06,5987550,66.79,209.88,17882,15378,1540,0.748,3447398,34.52
4/16/2022,,,,,,,,,,15325,1535,,,
4/17/2022,15718745,20989010,6673001,59.98,157.39,5990488,66.82,210.17,,14892,1491,0.749,3475687,34.8
4/18/2022,15728666,20989010,6673776,59.99,157.49,5991370,66.83,210.17,9921,15281,1530,0.749,3483982,34.89
4/19/2022,15728708,20991410,6674004,59.99,157.49,5991453,66.83,210.19,42,13535,1355,0.749,3483713,34.88
4/20/2022,15739802,21028210,6674960,60,157.61,5992453,66.84,210.56,11094,13117,1313,0.749,3492909,34.98
4/21/2022,15757161,21066610,6676294,60.02,157.78,5994110,66.85,210.94,17359,12839,1286,0.748,3507339,35.12
4/22/2022,,,,,,,,,,12527,1254,,,
4/23/2022,15788554,21141910,6678899,60.06,158.09,5997663,66.88,211.7,,12371,1239,0.747,3532709,35.37
4/24/2022,15804230,21141910,6680116,60.07,158.25,5999089,66.89,211.7,15676,12212,1223,0.748,3545798,35.5
4/25/2022,15812786,21141910,6680855,60.08,158.34,5999822,66.9,211.7,8556,12017,1203,0.748,3552940,35.58
4/26/2022,15817172,21166510,6681328,60.08,158.38,6000288,66.9,211.94,4386,12638,1265,0.747,3556413,35.61
4/27/2022,15817257,21182910,6681484,60.08,158.38,6000376,66.9,212.11,85,11065,1108,0.747,3556259,35.61
4/28/2022,,,,,,,,,,11394,1141,,,
4/29/2022,15856581,21276810,6684631,60.12,158.77,6003969,66.93,213.05,,11960,1198,0.745,3589015,35.94
4/30/2022,15869982,21319710,6685773,60.13,158.91,6005191,66.95,213.48,13401,11633,1165,0.744,3600141,36.05
5/1/2022,15883605,21319710,6686850,60.14,159.05,6006527,66.96,213.48,13623,11339,1135,0.745,3611404,36.16
5/2/2022,15890801,21319710,6687389,60.15,159.12,6007188,66.96,213.48,7196,11145,1116,0.745,3617429,36.22
5/3/2022,15896164,21328410,6688069,60.16,159.17,6007791,66.97,213.56,5363,11285,1130,0.745,3621538,36.26
5/4/2022,15906503,21344710,6690746,60.18,159.27,6010029,67,213.73,10339,12749,1277,0.745,3627033,36.32
5/5/2022,15922751,21381210,6692096,60.19,159.44,6011530,67.01,214.09,16248,12262,1228,0.745,3640515,36.45
5/6/2022,15934620,21422910,6693155,60.21,159.56,6012754,67.02,214.51,11869,11148,1116,0.744,3650175,36.55
5/7/2022,15946800,21440910,6694299,60.22,159.68,6014066,67.03,214.69,12180,10974,1099,0.744,3660011,36.65
5/8/2022,15959302,21440910,6695344,60.23,159.8,6015378,67.04,214.69,12502,10814,1083,0.744,3670237,36.75
5/9/2022,15966970,21440910,6696020,60.24,159.88,6016167,67.05,214.69,7668,10881,1090,0.745,3676469,36.81
5/10/2022,15970350,21457610,6696476,60.24,159.91,6016557,67.05,214.86,3380,10598,1061,0.744,3679023,36.84
5/11/2022,,,,,,,,,,10724,1074,,,
5/12/2022,15992798,21535910,6698645,60.27,160.14,6019133,67.07,215.64,,10007,1002,0.743,3696857,37.02
5/13/2022,16005014,21591310,6699741,60.28,160.26,6020397,67.09,216.2,12216,10056,1007,0.741,3706797,37.12
5/14/2022,16017392,21622610,6700891,60.3,160.38,6021620,67.1,216.51,12378,10085,1010,0.741,3716892,37.22
5/15/2022,16029093,21622610,6701788,60.31,160.5,6022677,67.11,216.51,11701,9970,998,0.741,3726680,37.32
5/16/2022,16038600,21622610,6702521,60.31,160.6,6023520,67.11,216.51,9507,10233,1025,0.742,3734629,37.4
5/17/2022,16043399,21633810,6703077,60.32,160.65,6023998,67.12,216.62,4799,10436,1045,0.742,3738411,37.43
5/18/2022,16054197,21662310,6704099,60.33,160.75,6025114,67.13,216.91,10798,10375,1039,0.741,3747129,37.52
5/19/2022,16067654,21691110,6705207,60.34,160.89,6026365,67.14,217.2,13457,10694,1071,0.741,3758274,37.63
5/20/2022,16080662,21735810,6706348,60.36,161.02,6027630,67.15,217.64,13008,10807,1082,0.74,3768904,37.74
5/21/2022,16094768,21778710,6707545,60.37,161.16,6028906,67.16,218.07,14106,11054,1107,0.739,3780583,37.86
5/22/2022,16094825,21778710,6707622,60.37,161.16,6028966,67.16,218.07,57,9390,940,0.739,3780506,37.85
5/23/2022,16094827,21778710,6707667,60.37,161.16,6028993,67.16,218.07,2,8032,804,0.739,3780436,37.85
5/24/2022,16120324,21811610,6709821,60.39,161.42,6031075,67.19,218.4,25497,10989,1100,0.739,3801775,38.07
5/25/2022,16133211,21830310,6710933,60.4,161.54,6032319,67.2,218.59,12887,11288,1130,0.739,3812343,38.17
5/26/2022,16146930,21887910,6712160,60.42,161.68,6033637,67.21,219.17,13719,11325,1134,0.738,3823565,38.29
5/27/2022,16164196,21962510,6713694,60.43,161.85,6035264,67.23,219.91,17266,11933,1195,0.736,3837741,38.43
5/28/2022,,,,,,,,,,10341,1035,,,
5/29/2022,,,,,,,,,,10756,1077,,,
5/30/2022,,,,,,,,,,11179,1119,,,
5/31/2022,16176045,21982310,6714874,60.44,161.97,6036495,67.24,220.11,,7960,797,0.736,3847219,38.52
6/1/2022,16198760,21997710,6717133,60.47,162.2,6038777,67.26,220.27,22715,9364,938,0.736,3865482,38.71
6/2/2022,16205395,22020010,6717817,60.48,162.27,6039571,67.27,220.49,6635,8352,836,0.736,3870658,38.76
6/3/2022,16214095,22048510,6718674,60.48,162.35,6040499,67.28,220.78,8700,7128,714,0.735,3877571,38.83
6/4/2022,16219861,22085510,6719272,60.49,162.41,6041073,67.28,221.15,5766,7529,754,0.734,3882178,38.87
6/5/2022,16224461,22085910,6719756,60.5,162.46,6041594,67.29,221.15,4600,7763,777,0.735,3885801,38.91
6/6/2022,16225627,22085910,6719896,60.5,162.47,6041726,67.29,221.15,1166,7506,752,0.735,3886703,38.92
6/7/2022,16225866,22115310,6719991,60.5,162.47,6041792,67.29,221.44,239,7117,713,0.734,3886785,38.92
6/8/2022,16229967,22141210,6721212,60.51,162.51,6042923,67.3,221.7,4101,4458,446,0.733,3888608,38.94
6/9/2022,16254418,22209410,6723816,60.53,162.76,6045512,67.33,222.39,24451,7003,701,0.732,3907950,39.13
6/10/2022,16262750,22261210,6724734,60.54,162.84,6046495,67.34,222.91,8332,6951,696,0.731,3914416,39.2
6/11/2022,16271373,22282110,6725678,60.55,162.93,6047434,67.35,223.11,8623,7359,737,0.73,3921194,39.26
6/12/2022,16275870,22282110,6726111,60.56,162.97,6047880,67.35,223.11,4497,7344,735,0.73,3924837,39.3
6/13/2022,16276732,22282110,6726224,60.56,162.98,6047968,67.35,223.11,862,7301,731,0.73,3925501,39.31
6/14/2022,16276979,22291310,6726316,60.56,162.98,6048034,67.35,223.21,247,7302,731,0.73,3925592,39.31
6/15/2022,16281208,22312410,6727202,60.57,163.03,6048771,67.36,223.42,4229,7320,733,0.73,3928234,39.33
6/16/2022,16281256,22335610,6727296,60.57,163.03,6048847,67.36,223.65,48,3834,384,0.729,3928121,39.33
